date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1082,aVWAP_OB_bull_c0_814,aVWAP_OB_bull_c0_567,aVWAP_OB_bull_c0_521,aVWAP_OB_bull_c0_489,aVWAP_OB_bull_c0_360,aVWAP_OB_bull_c0_353,aVWAP_OB_bull_c0_339,aVWAP_OB_bull_c0_215,aVWAP_OB_bear_c0_1242,aVWAP_OB_bear_c0_1229,aVWAP_OB_bear_c0_1211,aVWAP_OB_bear_c0_1158,aVWAP_OB_bear_c0_946,aVWAP_OB_bear_c0_674,aVWAP_OB_bear_c0_334,aVWAP_OB_bear_c0_13,aVWAP_QQEMOD_bull_dot_c0_1073,aVWAP_QQEMOD_bull_dot_c0_1096,aVWAP_QQEMOD_bull_dot_c0_1145,aVWAP_QQEMOD_bull_dot_c0_1158,aVWAP_QQEMOD_bull_dot_c0_1211,aVWAP_QQEMOD_bear_dot_c0_1082,aVWAP_QQEMOD_bear_dot_c0_1112,aVWAP_QQEMOD_bear_dot_c0_1155,aVWAP_QQEMOD_bear_dot_c0_1179,aVWAP_QQEMOD_bear_dot_c0_1253,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-06-07 00:00:00+00:00,10.75,11.08,10.73,10.91,4703187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.528733377048553,10.707884011521058,10.137673871408076,8.892589266230484,8.849087413853589,8.688629527137106,7.802136376331277,,,,,,12.409841352691627,,6.733837313177086,,,,,,,,,,,7.432458281359738,6.985242655141691,"rgba(239, 83, 80, 1.0)"
2024-06-10 00:00:00+00:00,10.87,11.1208,10.77,10.84,3915723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.52691820372657,10.708400608640556,10.139342504611458,8.895240591467863,8.851762625511153,8.691408904631423,7.805174982575212,,,,,,12.398020790049907,,6.735923694242301,,,,,,,,,,,7.435598480809121,6.987171571278757,"rgba(239, 83, 80, 1.0)"
2024-06-11 00:00:00+00:00,10.69,10.935,10.6824,10.78,5706869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.52363778693372,10.708615146913727,10.141293516124572,8.898804839977457,8.855365222786677,8.695173430218105,7.809378586946421,,,,,,12.379397392815592,,6.738851021494371,,,,,,,,,,,7.439966917659682,6.989871540901522,"rgba(239, 83, 80, 1.0)"
2024-06-12 00:00:00+00:00,10.69,10.78,10.555,10.7,7412241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.518892941401743,10.708461621377214,10.143432333406574,8.903182015692726,8.85979505138701,8.69982158163288,7.814647498687065,,,,,,12.354457845671453,,6.742558122503848,,,,,,,,,,,7.445463754583971,6.993285383505573,"rgba(239, 83, 80, 1.0)"
2024-06-13 00:00:00+00:00,11.21,11.39,10.78,10.85,8996361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.516249214747674,10.71076704890264,10.14819158123314,8.909812690494467,8.86647334676772,8.706717256058896,7.822022195929611,,,,,,12.333033167171184,,6.747563828969253,,,,,,,,,,,7.4530398686332,6.997927602686527,"rgba(239, 83, 80, 0.75)"
2024-06-14 00:00:00+00:00,10.91,11.175,10.74,11.14,14204502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.510198677664132,10.712759468450276,10.15420978936898,8.919334843309148,8.876081522530125,8.71669925424306,7.832951472799184,,,,,,12.295726471111537,,6.755111275770303,,,,,,,,,,,7.464339426423999,7.004908609087981,"rgba(239, 83, 80, 0.75)"
2024-06-17 00:00:00+00:00,10.99,11.3,10.9,10.94,3103245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.50917300151885,10.713419111856787,10.15571372009744,8.921527712670812,8.878291725415972,8.71898675716496,7.835422047374467,,,,,,12.288549387971479,,6.7568043594019285,,,,,,,,,,,7.4668843274336085,7.0064774882399465,"rgba(239, 83, 80, 0.75)"
2024-06-18 00:00:00+00:00,10.74,11.25,10.67,11.06,3042349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.507775365259173,10.713738110893512,10.156897261752839,8.92349623007049,8.880279380811315,8.72105637214505,7.837708112474601,,,,,,12.28059089493805,,6.758394888356981,,,,,,,,,,,7.469253410291447,7.007947474596218,"rgba(239, 83, 80, 0.75)"
2024-06-20 00:00:00+00:00,10.43,11.05,10.34,10.99,7339578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.50292087482382,10.71326459660679,10.158647321804176,8.92755400437786,8.884391454672912,8.725389577102359,7.8427039212905605,,,,,,12.257975225514569,,6.761967044881039,,,,,,,,,,,7.474488092936108,7.011233520905521,"rgba(239, 83, 80, 0.75)"
2024-06-21 00:00:00+00:00,10.22,10.39,10.08,10.31,5450109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.497849004983463,10.711682785394204,10.158852889282057,8.929881435572806,8.886767244670411,8.727952732800643,7.845898019616211,,,,,,12.237831719582356,,6.764355861482837,,,,,,,,,,,7.4778978016961,7.013414517135875,"rgba(239, 83, 80, 1.0)"
