date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1243,aVWAP_OB_bull_c0_1033,aVWAP_OB_bull_c0_1021,aVWAP_OB_bull_c0_785,aVWAP_OB_bull_c0_722,aVWAP_OB_bull_c0_487,aVWAP_OB_bear_c0_1170,aVWAP_OB_bear_c0_979,aVWAP_OB_bear_c0_776,aVWAP_OB_bear_c0_701,aVWAP_OB_bear_c0_454,aVWAP_OB_bear_c0_97,aVWAP_QQEMOD_bull_dot_c0_1067,aVWAP_QQEMOD_bull_dot_c0_1131,aVWAP_QQEMOD_bull_dot_c0_1170,aVWAP_QQEMOD_bull_dot_c0_1218,aVWAP_QQEMOD_bull_dot_c0_1251,aVWAP_QQEMOD_bear_dot_c0_953,aVWAP_QQEMOD_bear_dot_c0_1123,aVWAP_QQEMOD_bear_dot_c0_1142,aVWAP_QQEMOD_bear_dot_c0_1191,aVWAP_QQEMOD_bear_dot_c0_1235,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2023-10-04 00:00:00+00:00,2.83,2.91,2.81,2.89,36161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.6160986849932457,,,,,2.3297500382690584,3.544410780338398,,,,,,,,,,,2.6160986849932457,3.544410780338398,"rgba(239, 83, 80, 1.0)"
2023-10-05 00:00:00+00:00,2.75,2.86,2.72,2.8,64057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.6183178599713366,,,,,2.3327218754484287,3.5432992346632783,,,,,,,,,,,2.6183178599713366,3.5432992346632783,"rgba(239, 83, 80, 1.0)"
2023-10-06 00:00:00+00:00,2.88,2.9,2.72,2.79,67573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.621407606724645,,,,,2.336209021249766,3.542216574561981,,,,,,,,,,,2.621407606724645,3.542216574561981,"rgba(239, 83, 80, 0.75)"
2023-10-09 00:00:00+00:00,2.99,3.07,2.76,2.76,71473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.6261774718373623,,,,,2.340625098731696,3.5412467878663145,,,,,,,,,,,2.6261774718373623,3.5412467878663145,"rgba(239, 83, 80, 0.75)"
2023-10-10 00:00:00+00:00,2.95,3.15,2.92,2.93,73825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.6319718892775956,,,,,2.345619049457837,3.540359067914289,,,,,,,,,,,2.6319718892775956,3.540359067914289,"rgba(239, 83, 80, 0.75)"
2023-10-11 00:00:00+00:00,2.99,3.15,2.91,2.91,33450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.634608159909486,,,,,2.347891089545392,3.5399653316022675,,,,,,,,,,,2.634608159909486,3.5399653316022675,#000000
2023-10-12 00:00:00+00:00,3.01,3.09,2.93,2.93,40970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.637732787979225,,,,,2.350625505861502,3.5394777506246746,,,,,,,,,,,2.637732787979225,3.5394777506246746,#000000
2023-10-13 00:00:00+00:00,2.98,3.13,2.95,2.95,33536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.6403196716252406,,,,,2.3528807003743486,3.539086833582974,,,,,,,,,,,2.6403196716252406,3.539086833582974,#000000
2023-10-16 00:00:00+00:00,3.06,3.15,2.94,2.94,59343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.645167458271536,,,,,2.357012114456267,3.5384364284861896,,,,,,,,,,,2.645167458271536,3.5384364284861896,"rgba(38, 166, 154, 0.5)"
2023-10-17 00:00:00+00:00,3.05,3.22,2.95,3.14,137889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.6566249807276474,,,,,2.3667422722335845,3.5370036883783578,,,,,,,,,,,2.6566249807276474,3.5370036883783578,"rgba(38, 166, 154, 0.5)"
2023-10-18 00:00:00+00:00,3.0,3.155,2.97,3.0,24529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.65844918805763,,,,,2.3683692037255026,3.5367323999452536,,,,,,,,,,,2.65844918805763,3.5367323999452536,"rgba(38, 166, 154, 0.5)"
2023-10-19 00:00:00+00:00,3.01,3.08,3.0,3.02,14542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.659489852821214,,,,,2.3693133818796177,3.5365679201831606,,,,,,,,,,,2.659489852821214,3.5365679201831606,"rgba(38, 166, 154, 0.5)"
