date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1231,aVWAP_OB_bull_c0_1111,aVWAP_OB_bull_c0_1099,aVWAP_OB_bull_c0_1004,aVWAP_OB_bull_c0_977,aVWAP_OB_bull_c0_953,aVWAP_OB_bull_c0_720,aVWAP_OB_bull_c0_593,aVWAP_OB_bull_c0_377,aVWAP_OB_bull_c0_355,aVWAP_OB_bull_c0_347,aVWAP_OB_bull_c0_332,aVWAP_OB_bear_c0_1175,aVWAP_OB_bear_c0_944,aVWAP_OB_bear_c0_713,aVWAP_OB_bear_c0_581,aVWAP_OB_bear_c0_242,aVWAP_QQEMOD_bull_dot_c0_1093,aVWAP_QQEMOD_bull_dot_c0_1105,aVWAP_QQEMOD_bull_dot_c0_1175,aVWAP_QQEMOD_bull_dot_c0_1240,aVWAP_QQEMOD_bull_dot_c0_1253,aVWAP_QQEMOD_bear_dot_c0_1033,aVWAP_QQEMOD_bear_dot_c0_1099,aVWAP_QQEMOD_bear_dot_c0_1111,aVWAP_QQEMOD_bear_dot_c0_1192,aVWAP_QQEMOD_bear_dot_c0_1247,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2025-10-13 00:00:00+00:00,75.8504987796,75.8504987796,75.8504987796,75.8504987796,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.15874819308846,75.5163846733005,74.50583314501351,66.50957266325125,64.54653264728415,60.08097286504995,58.70506004272271,57.110970799741445,56.81153947907077,,,,,,,,,,,76.90261251998973,,,,,56.81153947907077,,"rgba(239, 83, 80, 0.75)"
2025-10-14 00:00:00+00:00,76.2340338842,76.2340338842,75.9352010627,76.1627889732,5596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.15794141703985,75.5312357867926,74.53910145915829,66.5554345922465,64.5881734946022,60.105475438080305,58.72767359999831,57.132514948035116,56.83288320445759,,,,,,,,,,,76.83039309809406,,,,,56.83288320445759,,"rgba(239, 83, 80, 0.75)"
2025-10-15 00:00:00+00:00,76.2871707137,76.4695378959,75.9154108097,76.4695378959,42286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.17118728217497,75.63770171757112,74.76441137147748,66.89146510119664,64.89578121880861,60.28925968591244,58.897543729177286,57.29450888170449,56.993396496560784,,,,,,,,,,,76.57854892472045,,,,,56.993396496560784,,"rgba(239, 83, 80, 0.5)"
2025-10-16 00:00:00+00:00,76.617964794,76.6278599205,76.1924743528,76.1924743528,4228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.1772422115088,75.6504393827296,74.78703885088258,66.92466779159643,64.92631889253157,60.30769612180696,58.91459480102064,57.31077141871338,57.009510738490924,,,,,,,,,,,76.5745969260514,,,,,57.009510738490924,,#000000
2025-10-17 00:00:00+00:00,76.5882794143,76.5882794143,76.0836279608,76.372664607,588610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.35504442658215,76.17233467553834,75.84440312441708,70.0133564974069,68.01214548871039,62.51249638684286,60.99693313982007,59.32783474934735,59.01348610773538,,,,,,,,,,,76.44365197560138,,,,,59.01348610773538,,#000000
2025-10-20 00:00:00+00:00,76.7268111859,76.8158673247,76.6702110621,76.8059721982,2208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.3560924263931,76.17376900456112,75.84656739622424,70.02155148531038,68.0209242619824,62.519794571399856,61.0039538204773,59.334725525299234,59.02034767048155,,,,,,,,,,,76.44458344948318,,,,,59.02034767048155,,"rgba(38, 166, 154, 1.0)"
2025-10-21 00:00:00+00:00,75.9549913158,76.0256425193,75.88572543,75.88572543,1861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.355169574216,76.17330311987699,75.84678930894589,70.02764046783426,68.02764697561767,62.52560190795897,61.009572368327596,59.34026829646761,59.025871640346146,,,,,,,,,,,76.44328067367833,,,,,59.025871640346146,,#000000
2025-10-22 00:00:00+00:00,76.1517064314,76.380481757,76.0956010639,76.2427415956,3497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.35454075373929,76.17344674271841,75.84817216574307,70.0395369766591,68.04065229233159,62.53670686839404,61.02029784955848,59.35083265946734,59.036397447947316,,,,,,,,,,,76.44211527465359,,,,,59.036397447947316,,#000000
2025-10-23 00:00:00+00:00,77.116481269,77.116481269,76.5783842878,76.9741893494,2491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.35632375101471,76.17561321746041,75.85112341178538,70.04897969088161,68.05071432795964,62.54502674012693,61.028294316290804,59.35867440179064,59.04420483365478,,,,,,,,,,,76.44386500799145,,,,,59.04420483365478,,"rgba(38, 166, 154, 1.0)"
2025-10-24 00:00:00+00:00,77.3169565327,77.3169565327,77.3169565327,77.3169565327,353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,76.35674020690342,76.1760718778775,75.85168616610598,70.05038940306774,68.0521992494156,62.54623606913009,61.02945388735127,59.35980909077187,59.04533414390388,,,,,,,,,,,76.44430213700527,,,,,59.04533414390388,,"rgba(38, 166, 154, 1.0)"
