date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1247,aVWAP_OB_bull_c0_1233,aVWAP_OB_bull_c0_1198,aVWAP_OB_bull_c0_1179,aVWAP_OB_bull_c0_1071,aVWAP_OB_bull_c0_1014,aVWAP_OB_bull_c0_986,aVWAP_OB_bull_c0_954,aVWAP_OB_bull_c0_421,aVWAP_OB_bull_c0_390,aVWAP_OB_bull_c0_332,aVWAP_OB_bear_c0_1153,aVWAP_OB_bear_c0_901,aVWAP_OB_bear_c0_853,aVWAP_OB_bear_c0_767,aVWAP_QQEMOD_bull_dot_c0_945,aVWAP_QQEMOD_bull_dot_c0_1041,aVWAP_QQEMOD_bull_dot_c0_1095,aVWAP_QQEMOD_bull_dot_c0_1153,aVWAP_QQEMOD_bull_dot_c0_1251,aVWAP_QQEMOD_bear_dot_c0_934,aVWAP_QQEMOD_bear_dot_c0_954,aVWAP_QQEMOD_bear_dot_c0_1058,aVWAP_QQEMOD_bear_dot_c0_1114,aVWAP_QQEMOD_bear_dot_c0_1179,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2023-09-06 00:00:00+00:00,109.28,111.33,108.22,110.56,47736701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.05409036578425,99.52322635769244,90.27990452478414,,,,,,,,,,,,,,,90.27990452478414,,#000000
2023-09-07 00:00:00+00:00,106.59,107.69,105.09,106.14,49080149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.06711429866603,99.55451017714871,90.332886945342,,,,,,,,,,,,,,,90.332886945342,,#000000
2023-09-08 00:00:00+00:00,106.09,109.737,105.75,107.02,46271558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.08300488096106,99.58686249090832,90.38478520679075,,,,,,,,,,,,,,,90.38478520679075,,#000000
2023-09-11 00:00:00+00:00,105.32,107.51,103.0,107.315,50611285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.08960672471935,99.61310218922448,90.43475787053042,,,,,,,,,,,,,,,90.43475787053042,,#000000
2023-09-12 00:00:00+00:00,105.31,106.74,103.18,104.2,44413572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.09437425084364,99.63512394288863,90.4777483162469,,,,,,,,,,,,,,,90.4777483162469,,"rgba(239, 83, 80, 1.0)"
2023-09-13 00:00:00+00:00,107.71,108.74,104.83,105.1,44702254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.1088829220966,99.66525856936579,90.52670613595274,,,,,,,,,,,,,,,90.52670613595274,,#000000
2023-09-14 00:00:00+00:00,106.63,109.1494,106.2212,108.43,45920612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.12482940791794,99.69695485016189,90.57742363994043,,,,,,,,,,,,,,,90.57742363994043,,#000000
2023-09-15 00:00:00+00:00,101.49,106.76,101.28,106.07,71103616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.11762436665133,99.7190841267178,90.63602073192433,,,,,,,,,,,,,,,90.63602073192433,,"rgba(239, 83, 80, 1.0)"
2023-09-18 00:00:00+00:00,102.37,102.99,99.45,100.815,49061310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.1045100574673,99.72731618044183,90.67110301399835,,,,,,,,,,,,,,,90.67110301399835,,"rgba(239, 83, 80, 1.0)"
2023-09-19 00:00:00+00:00,101.61,102.8582,100.7,101.75,41704110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.09399650839947,99.7346991896676,90.70107216132925,,,,,,,,,,,,,,,90.70107216132925,,"rgba(239, 83, 80, 1.0)"
2023-09-20 00:00:00+00:00,100.34,103.94,100.28,102.36,55180576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.07905018161132,99.74339675168007,90.73975195629981,,,,,,,,,,,,,,,90.73975195629981,,"rgba(239, 83, 80, 1.0)"
2023-09-21 00:00:00+00:00,96.11,98.87,95.84,98.6,59704335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,104.03447772351969,99.72869709768261,90.76364392301284,,,,,,,,,,,,,,,90.76364392301284,,"rgba(239, 83, 80, 1.0)"
2023-09-22 00:00:00+00:00,96.2,98.42,95.61,96.92,52169395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.99491657220946,99.71508125736611,90.7837104194892,,,,,,,,,,,,,,,90.7837104194892,,"rgba(239, 83, 80, 1.0)"
2023-09-25 00:00:00+00:00,97.38,97.45,94.46,95.95,43223749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.96106054504702,99.70271432680542,90.79936555715709,,,,,,,,,,,,,,,90.79936555715709,,"rgba(239, 83, 80, 1.0)"
2023-09-26 00:00:00+00:00,95.96,97.83,95.27,96.5,42866460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.92744356776602,99.69025607384263,90.81459555127392,,,,,,,,,,,,,,,90.81459555127392,,"rgba(239, 83, 80, 1.0)"
2023-09-27 00:00:00+00:00,98.07,99.23,96.35,96.82,51261502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.89567329341511,99.6822544446987,90.83769970911996,,,,,,,,,,,,,,,90.83769970911996,,"rgba(239, 83, 80, 1.0)"
2023-09-28 00:00:00+00:00,102.76,104.2,97.76,97.94,72542056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.87852604813827,99.69403142431595,90.88712740245765,,,,,,,,,,,,,,,90.88712740245765,,"rgba(239, 83, 80, 0.75)"
2023-09-29 00:00:00+00:00,102.82,104.94,102.56,104.69,56078641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.87603719242536,99.71197918318161,90.93164691636588,,,,,,,,,,,,,,,90.93164691636588,,"rgba(239, 83, 80, 0.75)"
2023-10-02 00:00:00+00:00,103.27,103.71,101.7,102.21,45118574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.87157029195298,99.72419563510873,90.96568147569245,,,,,,,,,,,,,,,90.96568147569245,,#000000
2023-10-03 00:00:00+00:00,100.08,103.29,99.17,101.7963,48116980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.85697751465702,99.7287736406707,90.99557348731263,,,,,,,,,,,,,,,90.99557348731263,,#000000
2023-10-04 00:00:00+00:00,104.07,104.4,100.34,100.65,51023246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.85229353861864,99.74258754889408,91.03375716436453,,,,,,,,,,,,,,,91.03375716436453,,#000000
2023-10-05 00:00:00+00:00,102.91,103.74,100.27,103.405,51789731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.84434984367991,99.75374614490428,91.07022734739478,,,,,,,,,,,,,,,91.07022734739478,,#000000
2023-10-06 00:00:00+00:00,107.24,107.87,102.03,102.16,64864077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.85630340703638,99.78605296331654,91.12932082352833,,,,,,,,,,,,,,,91.12932082352833,,"rgba(38, 166, 154, 1.0)"
2023-10-09 00:00:00+00:00,106.97,107.31,104.79,106.01,39593192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.86602682885497,99.80772329314296,91.16673862977058,,,,,,,,,,,,,,,91.16673862977058,,"rgba(38, 166, 154, 1.0)"
2023-10-10 00:00:00+00:00,109.01,110.12,106.4,107.49,57105529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,103.89192888719076,99.84892252820742,91.22798862229301,,,,,,,,,,,,,,,91.22798862229301,,"rgba(38, 166, 154, 1.0)"
