date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1033,aVWAP_OB_bull_c0_953,aVWAP_OB_bull_c0_902,aVWAP_OB_bull_c0_788,aVWAP_OB_bull_c0_676,aVWAP_OB_bull_c0_431,aVWAP_OB_bull_c0_386,aVWAP_OB_bull_c0_363,aVWAP_OB_bull_c0_347,aVWAP_OB_bear_c0_1225,aVWAP_OB_bear_c0_1175,aVWAP_OB_bear_c0_994,aVWAP_OB_bear_c0_208,aVWAP_QQEMOD_bull_dot_c0_1086,aVWAP_QQEMOD_bull_dot_c0_1157,aVWAP_QQEMOD_bull_dot_c0_1175,aVWAP_QQEMOD_bull_dot_c0_1211,aVWAP_QQEMOD_bull_dot_c0_1228,aVWAP_QQEMOD_bear_dot_c0_1094,aVWAP_QQEMOD_bear_dot_c0_1162,aVWAP_QQEMOD_bear_dot_c0_1192,aVWAP_QQEMOD_bear_dot_c0_1219,aVWAP_QQEMOD_bear_dot_c0_1249,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-12-19 00:00:00+00:00,5.0490844818,5.213728541,5.0091707705,5.1887824714,5345209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.667580982157682,5.547700625035144,5.208264691394263,5.124796388543769,5.069687501092909,5.00833261273737,,,,4.934136934652161,,,,,,,,,,,5.00833261273737,,"rgba(239, 83, 80, 1.0)"
2024-12-20 00:00:00+00:00,5.1488687601,5.2885667497,5.0391060539,5.0490844818,6245831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.659096887432578,5.544369878039226,5.208016655298312,5.124955419697247,5.070089337905779,5.008988323267395,,,,4.934942910602538,,,,,,,,,,,5.008988323267395,,"rgba(239, 83, 80, 1.0)"
2024-12-23 00:00:00+00:00,5.1089550487,5.1588471879,5.0690413374,5.1189334766,3242104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.6544039016897285,5.542457214337111,5.207767876357287,5.124924767505066,5.070187814193812,5.009221378931115,,,,4.935272467630511,,,,,,,,,,,5.009221378931115,,"rgba(239, 83, 80, 1.0)"
2024-12-24 00:00:00+00:00,5.0590629096,5.1588471879,5.0391060539,5.1588471879,1598740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.652007097254549,5.541462309233318,5.207611620492501,5.124878010895911,5.070205615185353,5.00930634364516,,,,4.935410165688392,,,,,,,,,,,5.00930634364516,,"rgba(239, 83, 80, 1.0)"
2024-12-26 00:00:00+00:00,5.1089550487,5.1388903322,5.0391060539,5.0790197653,2409652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.648495498099377,5.540003581057268,5.207396073281474,5.124825631207397,5.070249628000147,5.009450734522722,,,,4.935630981703705,,,,,,,,,,,5.009450734522722,,"rgba(239, 83, 80, 1.0)"
2024-12-27 00:00:00+00:00,5.1189334766,5.1289119044,4.9892139148,5.0291276261,3826872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.642843723767872,5.537620454563336,5.20700476075138,5.124695630071816,5.070273654119371,5.009635007054859,,,,4.935944104117577,,,,,,,,,,,5.009635007054859,,"rgba(239, 83, 80, 1.0)"
2024-12-30 00:00:00+00:00,4.9592786313,5.0590629096,4.9393217756,5.0391060539,3616151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.636740003673049,5.534938345789939,5.206369701139702,5.124324368855564,5.070055769361175,5.009575717980149,,,,4.936046949972963,,,,,,,,,,,5.009575717980149,,"rgba(239, 83, 80, 1.0)"
2024-12-31 00:00:00+00:00,5.0091707705,5.0490844818,4.9393217756,4.9592786313,4003801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.630248396638949,5.532070199643987,5.205712978840154,5.123954901789349,5.069853762860324,5.009547094183736,,,,4.93619059311477,,,,,,,,,,,5.009547094183736,,"rgba(239, 83, 80, 1.0)"
2025-01-02 00:00:00+00:00,5.2985451775,5.3384588888,5.0989766209,5.1189334766,3919382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.626449570105511,5.530575304682923,5.205835521366648,5.1243046998471655,5.070342065090573,5.010181650239121,,,,4.936877459587479,,,,,,,,,,,5.010181650239121,,"rgba(239, 83, 80, 0.75)"
2025-01-03 00:00:00+00:00,5.1788040436,5.3085236053,5.1788040436,5.3085236053,4246378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.622171217692639,5.528842411861341,5.205889662395007,5.124608938766664,5.070798062692392,5.010797611691279,,,,4.937562281382567,,,,,,,,,,,5.010797611691279,,"rgba(239, 83, 80, 0.75)"
