date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_347,aVWAP_OB_bull_c0_184,aVWAP_OB_bull_c0_171,aVWAP_OB_bull_c0_134,aVWAP_OB_bull_c0_101,aVWAP_OB_bull_c0_89,aVWAP_OB_bear_c0_326,aVWAP_OB_bear_c0_293,aVWAP_QQEMOD_bull_dot_c0_148,aVWAP_QQEMOD_bull_dot_c0_219,aVWAP_QQEMOD_bull_dot_c0_285,aVWAP_QQEMOD_bull_dot_c0_326,aVWAP_QQEMOD_bull_dot_c0_359,aVWAP_QQEMOD_bear_dot_c0_159,aVWAP_QQEMOD_bear_dot_c0_245,aVWAP_QQEMOD_bear_dot_c0_309,aVWAP_QQEMOD_bear_dot_c0_338,aVWAP_QQEMOD_bear_dot_c0_369,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2026-01-21 00:00:00+00:00,38.5449957297,38.5646214913,37.8679069554,38.1819191406,531841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.973649248735946,38.34338829191843,37.1803166471188,35.7729901949094,35.2889552229237,,,,39.239505326743306,,,,,38.03996714574607,,,,34.411394462101285,,#000000
2026-01-22 00:00:00+00:00,38.6431245376,39.8452024339,38.6333116568,39.2417102655,881728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.97430641562916,38.34953654811096,37.19292727892102,35.79069897167346,35.3080824927302,,,,39.23601304776388,,,,,38.081730205263725,,,,34.43281679551431,,#000000
2026-01-23 00:00:00+00:00,39.0454526498,39.310400431,38.3781767563,38.8884465572,956089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.973642798367074,38.35485809735533,37.20546681789285,35.808930738524836,35.32789331647038,,,,39.22994900369946,,,,,38.11765185490367,,,,34.45517775118407,,"rgba(38, 166, 154, 1.0)"
2026-01-26 00:00:00+00:00,38.5842472528,39.2318973847,38.4763055642,39.0650784114,1088699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.97115835808807,38.35922561484931,37.21831160390059,35.82846082078324,35.349272517769826,,,,39.22024862480598,,,,,38.14802961934593,,,,34.47953769341358,,"rgba(38, 166, 154, 1.0)"
2026-01-27 00:00:00+00:00,39.5066580468,39.8991732782,38.4468669218,38.7314404646,907435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.974222740912,38.3673803257361,37.232405062787116,35.84739216465224,35.36957305758736,,,,39.221340307341436,,,,,38.190851696298004,,,,34.50207149513702,,"rgba(38, 166, 154, 1.0)"
2026-01-28 00:00:00+00:00,39.8697346359,40.070898692,38.9080723188,39.7912315896,865100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.98015822231554,38.37778890504593,37.24780839240441,35.866973078812634,35.39035733677091,,,,39.227660774086516,,,,,38.24029001249153,,,,34.52483591484126,,"rgba(38, 166, 154, 1.0)"
2026-01-29 00:00:00+00:00,38.5842472528,40.0512729304,38.5057442065,39.7421671856,1186688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.980996388080996,38.38535432494002,37.263616350667114,35.889476773418785,35.41474355936449,,,,39.22378143318559,,,,,38.27693215548967,,,,34.55228091671942,,"rgba(38, 166, 154, 0.75)"
2026-01-30 00:00:00+00:00,40.8608355953,41.6851175814,38.8639143553,39.359464835,2251084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.01554665859504,38.42911430848882,37.316177328021475,35.95014846042414,35.477895474265765,,,,39.27257833344031,,,,,38.450881740912706,,,,34.619631840065836,,"rgba(38, 166, 154, 1.0)"
2026-02-02 00:00:00+00:00,40.2229983442,41.4299826809,39.7912315896,41.3024152307,1276757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.034588041149604,38.45326163900584,37.34533521727149,35.98393625085459,35.513097855300636,,,,39.29884191664457,,,,,38.53829818163733,,,,34.65722800113219,,"rgba(38, 166, 154, 1.0)"
2026-02-03 00:00:00+00:00,41.2239121844,41.8519365548,40.4094430791,40.4094430791,1087547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.05786739271889,38.48013787370578,37.37504870768578,36.016616011731074,35.54674809412203,,,,39.33269208135742,,,,,38.63110063878896,,,,34.69257108470957,,"rgba(38, 166, 154, 1.0)"
