date,Close,High,Low,Open,Volume,aVWAP_peak_914,aVWAP_valley_904
2023-10-04 00:00:00+00:00,3.52,3.535,3.31,3.38,3247239,,
2023-10-05 00:00:00+00:00,3.41,3.48,3.35,3.48,1655692,,
2023-10-06 00:00:00+00:00,3.59,3.59,3.35,3.36,3214365,,
2023-10-09 00:00:00+00:00,3.49,3.58,3.37,3.52,1487907,,
2023-10-10 00:00:00+00:00,3.74,3.74,3.5,3.5,2968481,,
2023-10-11 00:00:00+00:00,3.8,3.895,3.76,3.77,2914000,,
2023-10-12 00:00:00+00:00,3.68,3.825,3.65,3.8,1791604,,
2023-10-13 00:00:00+00:00,3.64,3.73,3.6,3.68,1868128,,
2023-10-16 00:00:00+00:00,3.7,3.73,3.5273,3.65,1779851,,
2023-10-17 00:00:00+00:00,3.71,3.75,3.6,3.66,1538726,,
2023-10-18 00:00:00+00:00,3.51,3.62,3.45,3.62,3250767,,
2023-10-19 00:00:00+00:00,3.39,3.565,3.37,3.48,3184814,,
2023-10-20 00:00:00+00:00,3.33,3.385,3.17,3.33,2489176,,
2023-10-23 00:00:00+00:00,3.3,3.395,3.225,3.26,1749444,,
2023-10-24 00:00:00+00:00,3.5,3.645,3.44,3.45,3493272,,
2023-10-25 00:00:00+00:00,3.38,3.47,3.34,3.45,2625364,,
2023-10-26 00:00:00+00:00,3.28,3.46,3.26,3.38,3176436,,
2023-10-27 00:00:00+00:00,3.16,3.3,3.16,3.29,2284098,,
2023-10-30 00:00:00+00:00,3.19,3.255,3.125,3.2,2136720,,
2023-10-31 00:00:00+00:00,3.33,3.36,3.15,3.17,2557608,,
2023-11-01 00:00:00+00:00,3.29,3.36,3.2303,3.34,1791134,,
2023-11-02 00:00:00+00:00,3.53,3.54,3.38,3.39,2357873,,
2023-11-03 00:00:00+00:00,3.66,3.705,3.585,3.61,2203926,,
2023-11-06 00:00:00+00:00,3.56,3.69,3.5,3.62,2051205,,
2023-11-07 00:00:00+00:00,3.55,3.58,3.305,3.57,2113619,,
2023-11-08 00:00:00+00:00,3.4,3.51,3.365,3.51,1258070,,
2023-11-09 00:00:00+00:00,3.46,3.62,3.43,3.43,2080838,,
2023-11-10 00:00:00+00:00,3.32,3.46,3.14,3.16,4062472,,
2023-11-13 00:00:00+00:00,3.27,3.34,3.205,3.25,2471073,,
2023-11-14 00:00:00+00:00,3.64,3.67,3.42,3.43,3490253,,
2023-11-15 00:00:00+00:00,3.69,3.7899,3.63,3.63,1956960,,
2023-11-16 00:00:00+00:00,3.63,3.68,3.56,3.64,1980043,,
2023-11-17 00:00:00+00:00,3.66,3.67,3.57,3.67,1803838,,
2023-11-20 00:00:00+00:00,3.62,3.69,3.59,3.64,1209493,,
2023-11-21 00:00:00+00:00,3.49,3.565,3.46,3.56,1013595,,
2023-11-22 00:00:00+00:00,3.5,3.56,3.455,3.52,1223086,,
2023-11-24 00:00:00+00:00,3.46,3.5284,3.45,3.46,610750,,
2023-11-27 00:00:00+00:00,3.4,3.44,3.34,3.44,1664988,,
2023-11-28 00:00:00+00:00,3.46,3.47,3.3,3.36,1488780,,
2023-11-29 00:00:00+00:00,3.54,3.63,3.46,3.47,2133071,,
2023-11-30 00:00:00+00:00,3.51,3.597,3.475,3.55,1780139,,
2023-12-01 00:00:00+00:00,3.71,3.72,3.4,3.48,2541478,,
2023-12-04 00:00:00+00:00,3.8,3.85,3.7,3.72,1704994,,
2023-12-05 00:00:00+00:00,3.66,3.79,3.635,3.79,1614859,,
2023-12-06 00:00:00+00:00,3.66,3.82,3.6,3.62,2148089,,
2023-12-07 00:00:00+00:00,3.66,3.69,3.61,3.66,1647592,,
2023-12-08 00:00:00+00:00,3.65,3.755,3.63,3.66,1266854,,
2023-12-11 00:00:00+00:00,3.6,3.66,3.58,3.63,1266353,,
2023-12-12 00:00:00+00:00,3.5,3.58,3.42,3.56,1707131,,
2023-12-13 00:00:00+00:00,3.78,3.78,3.43,3.48,10243438,,
2023-12-14 00:00:00+00:00,3.92,4.015,3.84,3.84,5650850,,
2023-12-15 00:00:00+00:00,3.72,3.99,3.69,3.93,9992860,,
2023-12-18 00:00:00+00:00,3.56,3.715,3.54,3.69,2578073,,
2023-12-19 00:00:00+00:00,3.69,3.725,3.54,3.54,2226087,,
2023-12-20 00:00:00+00:00,3.51,3.73,3.51,3.65,2479315,,
2023-12-21 00:00:00+00:00,3.65,3.725,3.57,3.57,2264667,,
2023-12-22 00:00:00+00:00,3.68,3.73,3.57,3.62,2066098,,
2023-12-26 00:00:00+00:00,3.81,3.825,3.705,3.765,1128695,,
2023-12-27 00:00:00+00:00,3.79,3.83,3.73,3.78,1514300,,
2023-12-28 00:00:00+00:00,3.8,3.83,3.74,3.77,1657887,,
2023-12-29 00:00:00+00:00,3.7,3.8202,3.7,3.8,1537395,,
2024-01-02 00:00:00+00:00,3.65,3.785,3.615,3.66,2083035,,
2024-01-03 00:00:00+00:00,3.56,3.64,3.5,3.59,1955884,,
2024-01-04 00:00:00+00:00,3.54,3.585,3.51,3.56,1427889,,
2024-01-05 00:00:00+00:00,3.5,3.62,3.47,3.5,1636245,,
2024-01-08 00:00:00+00:00,3.6,3.635,3.4615,3.49,3110270,,
2024-01-09 00:00:00+00:00,3.58,3.7,3.48,3.52,3924195,,
2024-01-10 00:00:00+00:00,3.48,3.59,3.46,3.55,3378593,,
2024-01-11 00:00:00+00:00,3.34,3.48,3.3,3.45,1908565,,
2024-01-12 00:00:00+00:00,3.44,3.495,3.33,3.34,3110560,,
2024-01-16 00:00:00+00:00,3.34,3.395,3.29,3.37,4693167,,
2024-01-17 00:00:00+00:00,3.18,3.29,3.17,3.28,2790565,,
2024-01-18 00:00:00+00:00,3.03,3.215,2.98,3.17,4119153,,
2024-01-19 00:00:00+00:00,3.09,3.1,2.91,3.02,2903623,,
2024-01-22 00:00:00+00:00,3.19,3.28,3.07,3.08,3802313,,
2024-01-23 00:00:00+00:00,3.4,3.46,3.2,3.3,4755608,,
