date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_884,Gap_Up_aVWAP_877,Gap_Up_aVWAP_870,Gap_Up_aVWAP_841,Gap_Up_aVWAP_828,Gap_Up_aVWAP_827,Gap_Up_aVWAP_774,Gap_Up_aVWAP_716,Gap_Up_aVWAP_714,Gap_Up_aVWAP_679,Gap_Down_aVWAP_864,Gap_Down_aVWAP_849,Gap_Down_aVWAP_833,Gap_Down_aVWAP_816,Gap_Down_aVWAP_812,Gap_Down_aVWAP_810,Gap_Down_aVWAP_793,Gap_Down_aVWAP_785,Gap_Down_aVWAP_776,Gap_Down_aVWAP_773,aVWAP_OB_bull_711,aVWAP_OB_bear_731,aVWAP_OB_bear_152,aVWAP_OB_bear_63,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-06 00:00:00+00:00,17.31,17.425,17.16,17.18,350872,,,,,,,,17.649471410342098,17.43922473701839,16.23611549326771,,,,,,,,,,,17.1373526682357,17.54626672535933,15.59456732512445,16.646749204916127,#000000,0.0,0.0,1.9082717052089562,15.369812984497344,1.0167247201782537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.70251407179321,10.40055952561356,False,True,False,False,False,9.46671737640268,0,1.0020631240950388,0.9823696668242141,False,False,False,False,0.083509329902158,0.10319941230849974,False,False,False,False,-12489949,-18205176.937211074,False,False,False,False,881810.9672351887,False,False,False,False
2024-12-09 00:00:00+00:00,17.1,17.59,17.06,17.3,339105,,,,,,,,17.643077729969587,17.436501283255367,16.242234743615857,,,,,,,,,,,17.138772499856,17.524505655538,15.595514525641752,16.647041007388648,#000000,0.0,0.0,1.8990242444690582,15.373241203870284,0.9092873885938701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.02496437947937,8.655271884984693,False,True,False,False,False,8.18102689370641,0,0.97915774768482,0.9776556033738161,False,False,False,False,0.08920753003832096,0.09620347117341035,False,False,False,False,-12829054,-17994348.586732212,False,False,False,False,860528.3802847891,False,False,False,False
2024-12-10 00:00:00+00:00,16.8,17.28,16.76,17.12,377962,,,,,,,,17.630871948607815,17.428767466228084,16.246941817086874,,,,,,,,,,,17.13611109033636,17.480779218201953,15.59637566159773,16.647202461804575,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.8866675421002528,15.374594315978527,0.755515029656312,0.0,0.0,0.0,0.0,-1.0,17.06,16.9,0.0,47.54919529228383,6.099045882461525,False,True,False,True,False,6.375433276893531,0,0.9697693457410452,0.9859173970843378,False,False,False,False,0.03590862655977185,0.06605604886659111,False,False,False,False,-13207016,-17806610.053919185,False,False,False,False,841604.208508915,False,False,False,False
2024-12-11 00:00:00+00:00,16.67,16.9,16.52,16.86,414169,,,,,,,,17.61326800922046,17.41631672419747,16.25021085442122,,,,,,,,,,,17.129539642295807,17.420738183623516,15.597143555612819,16.64723165186841,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.8720671909864137,15.374171507983826,0.6921912302375155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.33169300279333,3.7729667428350098,False,True,False,True,False,5.601797611781457,0,0.9739215226807162,0.9888505060736397,False,False,False,False,-0.018057343053372244,0.023999352906609435,False,False,False,False,-13621185,-17642475.738079216,False,False,False,False,824842.0434693497,False,False,False,False
2024-12-12 00:00:00+00:00,16.53,16.6884,16.23,16.57,372372,,,,,,,,17.59443459629376,17.402257688600983,16.25172104866728,,,,,,,,,,,17.12095966966159,17.360325395038014,15.597698930213213,16.64714445547999,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.8525101743164973,15.37250839617532,0.6248233450333138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.23763915326667,1.5435369642843995,False,True,False,True,False,4.768437210741602,0,0.9538373637350869,1.0045519386415318,False,False,False,False,-0.0617800034075597,-0.018890325250475133,False,False,False,False,-13993557,-17499380.88560552,False,False,False,False,807098.120196042,False,False,False,False
2024-12-13 00:00:00+00:00,16.23,16.4999,16.04,16.45,530083,,,,,,,,17.56344258154958,17.378212389826306,16.25176603680669,,,,,,,,,,,17.104939181671124,17.26762744080854,15.598286612042424,16.646849887439252,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.819046894283871,15.368415159731535,0.473646305093007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.58915738205673,-1.2089684381196122,False,True,False,True,False,3.004929652673013,0,0.9534772471307013,0.9983049762131662,False,False,False,False,-0.09492031139920086,-0.056905318324838,False,False,False,False,-14523640,-17382685.164601382,False,False,False,False,796234.7821491384,False,False,False,False
2024-12-16 00:00:00+00:00,16.22,16.26,15.72,16.01,587919,,,,,,,,17.525947802730144,17.348375675508912,16.249904790021553,,,,,,,,,,,17.084024778963574,17.165287819258875,15.598749464645678,16.6463649029861,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.7877195902415808,15.362706726297287,0.47954571756237413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.78214447025715,-3.165465411704659,False,True,False,True,False,2.9463165773925972,0,0.9403551543751144,1.0078486948132803,False,False,False,False,-0.14434962032076992,-0.10062746932280396,False,False,False,False,-15111559,-17293621.393440545,False,False,False,False,788065.5357903487,False,False,False,False
2024-12-17 00:00:00+00:00,16.5,16.57,16.01,16.04,381616,,,,,,,,17.50729271375513,17.333993235197585,16.250618712620565,,,,,,,,,,,17.07468030194796,17.12307988762616,15.59923744521053,16.64620960853381,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.759068057930853,15.361685186567197,0.6471124345079484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.68888630605133,-3.165465411704659,False,True,False,True,False,4.460699020705697,0,0.9605571059936219,0.9992450222173808,False,False,False,False,-0.09140068231551236,-0.09601407581915816,False,False,False,False,-14729943,-17193084.98585464,False,False,False,False,772126.3383083743,False,False,False,False
2024-12-18 00:00:00+00:00,15.54,16.736,15.54,16.55,664552,,,,,,,,17.464771564229586,17.299508989279683,16.247135369888195,,,,,,,,,,,17.049709371958325,17.02401610216173,15.599615924402745,16.645542062205696,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.7275637378888973,15.355415442011639,0.10684674257745473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.56838229663764,-5.76273652093392,False,True,False,True,False,0.0,0,0.9442369156647582,0.9826489742814138,False,False,False,False,-0.11814587355271557,-0.10707997468593686,False,False,False,False,-15394495,-17122552.04523289,False,False,False,False,767907.7368060851,False,False,False,False
2024-12-19 00:00:00+00:00,15.42,15.981,15.325,15.86,645156,,,,,,,,17.416323892889494,17.259110488001326,16.239930885939007,,,,,,,,,,,17.018904101694126,16.915219496435476,15.599589666882602,16.64456271820946,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.6892532280474286,15.346189671641543,0.04369405790259911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.12713361537561,-8.304950675311368,False,True,False,True,False,0.0,0,0.9358461543990539,1.00750755607307,False,False,False,False,-0.20481951129412268,-0.15594974299002978,False,False,False,False,-16039651,-17080085.3375767,False,False,False,False,763093.9432058465,False,False,False,False
