date,Open,High,Low,Close,Volume,aVWAP_peak_408,aVWAP_peak_389,aVWAP_peak_372,aVWAP_peak_339,aVWAP_peak_322,aVWAP_peak_292,aVWAP_peak_263,aVWAP_peak_197,aVWAP_valley_432,aVWAP_valley_401,aVWAP_valley_343,aVWAP_OB_bear_292,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-02-13 17:00:00+00:00,250.55,250.55,246.28,247.94,21705.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,246.19147289710372,,53.9052110144257,-0.2822809804263642,True,False,True,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,10212.0,21402.35164344266,False,False,False,False,41507.089950689326,False,False,False,False
2024-02-14 17:00:00+00:00,247.61,250.73,246.66,250.445,27227.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,246.34153810104758,,53.80577023065027,-0.2822809804263642,True,False,True,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,37439.0,21650.981850521068,False,False,False,False,41285.69320726779,False,False,False,False
2024-02-15 17:00:00+00:00,257.75,260.91,257.715,260.6,23285.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,246.95183625156196,,57.50488778435219,1.3951454957860108,True,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,60724.0,22256.76507764477,False,False,False,False,41006.612692426424,False,False,False,False
2024-02-16 17:00:00+00:00,257.935,260.54,257.385,258.15,43598.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,247.8298002379729,,58.62983767458445,2.6334590400043467,True,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17126.0,22177.218332254928,False,False,False,False,41046.789239830665,False,False,False,False
2024-02-19 17:00:00+00:00,258.15,258.15,258.15,258.15,0.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,247.8298002379729,,59.37980426807263,3.6208368580780004,True,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17126.0,22098.90486973935,False,False,False,False,40410.40491053096,False,False,False,False
2024-02-20 17:00:00+00:00,258.085,258.62,256.21,257.92,16038.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,248.07967057406367,,59.73140815117157,4.319582233001533,True,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1088.0,21773.154406642614,False,False,False,False,40032.538167732026,False,False,False,False
2024-02-21 17:00:00+00:00,254.31,257.11,254.14,256.83,17617.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,248.28939096510257,,59.20999875137984,4.319582233001533,True,False,True,False,True,7.210929115241285,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16529.0,21179.322555376835,False,False,False,False,39685.01044420129,False,False,False,False
2024-02-22 17:00:00+00:00,265.105,267.19,264.73,265.15,29115.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,249.05452300911028,,62.26024019645642,7.378267412930114,True,False,True,False,True,12.632298444638746,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12586.0,21046.09274831673,False,False,False,False,39521.13431328344,False,False,False,False
2024-02-23 17:00:00+00:00,265.01,266.96,265.0,266.175,16735.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,249.46670019892113,,64.63827594023547,9.80552280287447,True,False,True,False,True,13.25308038364198,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,29321.0,21174.38588400174,False,False,False,False,39167.86091307749,False,False,False,False
2024-02-26 17:00:00+00:00,267.47,267.84,265.31,265.325,12154.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,249.75299773730865,,65.53948841616727,10.841424730253323,True,False,True,False,True,12.51596478226772,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17167.0,21112.255870296285,False,False,False,False,38749.04136403753,False,False,False,False
2024-02-27 17:00:00+00:00,266.33,268.97,265.19,268.53,18112.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,250.1951512201623,,67.35381411722757,12.748441657570261,True,False,True,False,True,14.46141893432608,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35279.0,21331.895314167657,False,False,False,False,38429.08723436252,False,False,False,False
2024-02-28 17:00:00+00:00,267.83,268.43,266.295,267.31,11976.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,250.46948287466364,,67.48531652236925,13.110331105388312,True,False,True,False,True,13.39243117552618,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23303.0,21362.4550767387,False,False,False,False,38018.96185088403,False,False,False,False
2024-02-29 17:00:00+00:00,273.75,274.99,273.155,273.62,30101.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,257.01805998165355,,69.82583461092136,15.539244509077335,True,False,True,False,True,17.0471597455108,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,53404.0,21859.223215083835,False,False,False,False,37896.20275242071,False,False,False,False
2024-03-01 17:00:00+00:00,270.89,271.23,269.43,270.975,27905.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,257.10169945702194,,69.15261775351073,15.539244509077335,True,False,True,False,True,14.769340114483281,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25499.0,21915.65386291199,False,False,False,False,37741.30038416612,False,False,False,False
2024-03-04 17:00:00+00:00,269.28,270.55,268.37,269.145,29741.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.75)",,257.3003739751978,,67.22515780000555,15.539244509077335,True,False,True,False,False,13.227943386301895,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4242.0,21510.10884178157,False,False,False,False,37617.26471929533,False,False,False,False
2024-03-05 17:00:00+00:00,263.695,264.01,259.455,260.595,31369.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.75)",,256.85712887183763,,60.535207691518536,15.044808379741312,True,False,True,False,False,6.552038072061784,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-35611.0,20624.510255087283,False,False,False,False,37520.392398065946,False,False,False,False
2024-03-06 17:00:00+00:00,266.27,267.07,263.48,264.61,23138.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.75)",,256.9302592904815,,58.17282019660142,13.03195372975307,True,False,True,False,False,8.946953728622592,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12473.0,20111.370561209962,False,False,False,False,37297.40957018895,False,False,False,False
2024-03-07 17:00:00+00:00,266.59,271.17,266.35,270.965,24928.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.75)",,257.3000647505955,,59.312583531493644,13.03195372975307,True,False,True,False,False,12.480025221093193,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12455.0,19992.66714165632,False,False,False,False,37105.63577840308,False,False,False,False
