date,Close,High,Low,Open,Volume,aVWAP_peak_51,aVWAP_valley_42,aVWAP_valley_37,aVWAP_valley_28,aVWAP_valley_21,aVWAP_OB_bull_53,aVWAP_OB_bull_28,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-14 00:00:00+00:00,2.23,2.38,2.13,2.29,8846912,,,,2.0515155009473935,1.931477566973456,,2.0515155009473935,,1.991496533960425,#000000,,2.047712749601993,,56.23821101672403,-0.49076965649442883,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,1.0017122114923636,0.8810013012807342,False,False,False,False,0.3428281146687071,0.3319348875147883,False,False,False,False,714963,-12474291.512630755,False,False,False,False,6649273.145757582,False,False,False,False
2025-02-21 00:00:00+00:00,2.08,2.3,2.04,2.28,7045356,,,,2.0618151743013553,1.944567080532056,,2.0618151743013553,,2.003191127416706,#000000,,2.0441139179260617,,55.76575512710791,-0.49076965649442883,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,0.9574134641591713,0.9216407740528755,False,False,False,False,0.22802228424214302,0.27997858587846564,False,False,False,False,-6330393,-12019187.919102551,False,False,False,False,6678612.616442205,False,False,False,False
2025-02-28 00:00:00+00:00,1.93,2.08,1.85,2.05,10328601,,,,2.0460017303491203,1.9453058184655492,,2.0460017303491203,,1.9956537744073346,#000000,,2.015801686478361,,53.88343071303839,-0.49076965649442883,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9066728884741017,0.9583361109259383,False,False,False,False,-0.03114219556886067,0.12441819515480249,False,False,False,False,-16658994,-12362877.258428289,False,False,False,False,6948982.126335375,False,False,False,False
2025-03-07 00:00:00+00:00,2.07,2.1199,1.8,1.97,10224925,,,1.9966333333333337,2.0397759407889677,1.9492580876410321,,2.0397759407889677,,1.9952224539211112,#000000,,2.0146093569707704,,53.84765050797519,-0.49076965649442883,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9304670297832889,0.9520056950813702,False,False,False,False,-0.037438291609848594,0.04348995177247694,False,False,False,False,-6434069,-11923706.27632249,False,False,False,False,7191644.561421643,False,False,False,False
2025-03-14 00:00:00+00:00,2.24,2.265,1.93,2.08,13752711,,,2.0817311256553124,2.055035583467132,1.9676280936042971,,2.055035583467132,,2.0347982675755802,#000000,,2.0492383635768587,,55.20872795501171,-0.49076965649442883,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,0.9531404280956605,0.9472829816076179,False,False,False,False,-0.019414307921131836,0.012037821925672553,False,False,False,False,7318642,-10498347.144743048,False,False,False,False,7677649.482797817,False,False,False,False
2025-03-21 00:00:00+00:00,2.23,2.47,2.22,2.27,18655565,,,2.180159099809716,2.096399437289919,2.0059152601272547,,2.096399437289919,,2.094157932408963,#000000,,2.183448759359429,,56.070883583891955,0.23292158083312842,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,1.0178431971749686,0.9117177684968252,False,False,False,False,0.3428280620618358,0.17743294199375417,False,False,False,False,-11336923,-10560463.874762082,False,False,False,False,8490828.40999798,False,False,False,False
2025-03-28 00:00:00+00:00,2.3,2.44,2.25,2.29,10741256,,,2.210313588654713,2.116597209182199,2.025700957506683,,2.116597209182199,,2.1175372517811986,#000000,,2.204221706745556,,57.247304704419165,1.5773059925807473,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,1.0136049794224684,0.9268732356042311,False,False,False,False,0.3428280620618351,0.26013050202779464,False,False,False,False,-595667,-9822330.772927854,False,False,False,False,8657526.74999813,False,False,False,False
2025-04-04 00:00:00+00:00,1.87,2.3283,1.84,2.3,15484663,,,2.1658903152571995,2.1050895821006104,2.0246546758687933,,2.1050895821006104,,2.0985448577422012,#000000,,2.157557340761554,,54.026837252459,1.5773059925807473,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,0.9516713652839306,0.9343858236004833,False,False,False,False,-0.11765329208530181,0.07123860497124641,False,False,False,False,-16080330,-10285886.271229494,False,False,False,False,9163240.546294564,False,False,False,False
2025-04-11 00:00:00+00:00,2.12,2.15,1.69,1.76,17919902,,1.9866666666666668,2.1288805616922795,2.09162723724053,2.0214028864911,,2.09162723724053,,2.0571443380226437,#000000,,2.096294827777192,,53.705843459544326,1.5773059925807473,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,0.9347004094952696,0.9796036838884793,False,False,False,False,-0.34282825441539394,-0.13579482472207377,False,False,False,False,1839572,-9387704.177064346,False,False,False,False,9811882.13545793,False,False,False,False
2025-04-18 00:00:00+00:00,2.2,2.305,2.0637,2.07,9497587,,2.0569524759287767,2.134867182613726,2.097192832051393,2.0287011008424285,,2.097192832051393,,2.079428397859081,#000000,,2.1180598755208,,54.04325537862484,1.5773059925807473,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,0.9660705882352939,0.9741176470588234,False,False,False,False,0.08069459921099592,-0.027550112755538925,False,False,False,True,11337159,-7852529.126911432,False,False,False,False,9788601.014312897,False,False,False,False
