date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-08-04 00:00:00+00:00,4.57,4.67,4.45,4.5,13815075,3.583386245819595,"rgba(38, 166, 154, 1.0)",0.7221925325382741,3.583386245819595,1.3661367429441231,2,0.2658503544132412,0.5317007088264823,0.0,0.0,0.0,0.0,70.23779960809213,21.871940138748144,True,False,True,False,True,7.40966516493469
2022-08-05 00:00:00+00:00,4.82,5.02,4.3701,4.41,26687756,3.627534624114843,"rgba(0, 255, 255, 0.75)",0.7276644113157436,3.627534624114843,1.6387573135931888,2,0.26509383368671235,0.5301876673734247,0.0,0.0,0.0,0.0,72.65895943017806,15.723399997359593,True,False,True,False,True,9.599643726752987
2022-08-08 00:00:00+00:00,4.73,5.07,4.71,4.81,21001000,3.7796874657552806,"rgba(38, 166, 154, 1.0)",0.7375953137370377,3.7796874657552806,1.2883928579073356,2,0.2650050539797847,0.5300101079595694,0.0,0.0,0.0,0.0,73.09571986162884,16.422677479560235,True,False,True,False,True,8.604555398405108
2022-08-09 00:00:00+00:00,4.2,4.53,3.89,4.23,45788665,3.76123572248881,"rgba(38, 166, 154, 0.5)",0.7366432265644173,3.76123572248881,0.5956265688581898,2,0.267766961502645,0.53553392300529,0.0,0.0,0.0,0.0,67.76697938965722,16.422677479560235,True,False,True,False,False,3.085428489805672
2022-08-10 00:00:00+00:00,4.62,4.765,4.17,4.37,24372112,3.7854072517178836,"rgba(38, 166, 154, 1.0)",0.7478888726045856,3.7854072517178836,1.1159314957790152,2,0.269895981973962,0.539791963947924,0.0,0.0,0.0,0.0,66.58422489560337,16.422677479560235,True,False,True,False,False,6.729770653799044
2022-08-11 00:00:00+00:00,4.23,4.77,4.03,4.74,25105252,3.7987699502299237,"rgba(38, 166, 154, 0.5)",0.7486233130652938,3.7987699502299237,0.5760307517065869,2,0.27362794132785256,0.5472558826557051,0.0,0.0,0.0,0.0,62.696295040642994,19.522461745218763,True,False,True,False,False,2.985186421872246
2022-08-12 00:00:00+00:00,4.01,4.2,3.88,4.2,31113354,3.797878152927777,#000000,0.7490570649065922,3.797878152927777,0.2831851630672151,2,0.2774515649179554,0.5549031298359108,0.0,0.0,0.0,0.0,58.59516561698235,15.651669878604622,True,False,True,False,False,0.9813497231237456
2022-08-15 00:00:00+00:00,4.45,4.75,4.4,4.58,38172443,3.8301564300940782,"rgba(38, 166, 154, 0.5)",0.7589378068027621,3.8301564300940782,0.8167251181189489,2,0.2816257842436681,0.5632515684873362,0.0,0.0,0.0,0.0,58.3996478066877,15.436387848738434,True,False,True,False,False,4.66941307970653
2022-08-16 00:00:00+00:00,4.45,4.62,4.32,4.45,15447099,3.840453692515692,"rgba(38, 166, 154, 0.5)",0.7670703128559057,3.840453692515692,0.7946420259896195,2,0.28541490578795303,0.5708298115759061,0.0,0.0,0.0,0.0,58.269302599824606,15.107714588798942,True,False,True,False,False,4.669413079706519
2022-08-17 00:00:00+00:00,4.46,4.58,4.29,4.36,20331630,3.85279324657868,"rgba(38, 166, 154, 0.5)",0.7773586601347402,3.85279324657868,0.7811153133819497,2,0.2891718025892767,0.5783436051785534,0.0,0.0,0.0,0.0,58.241250633494296,14.75431658311048,True,False,True,False,False,4.752242543211306
2022-08-18 00:00:00+00:00,4.5,4.555,4.3324,4.4,10385463,3.859140664288213,"rgba(38, 166, 154, 0.5)",0.785432732050663,3.859140664288213,0.8159315362864831,2,0.2918914179467913,0.5837828358935826,0.0,0.0,0.0,0.0,58.47569543808743,14.601445206598328,True,False,True,False,False,5.088308354645736
2022-08-19 00:00:00+00:00,4.2,4.39,4.085,4.39,10384627,3.861967402344625,#000000,0.7888348803573918,3.861967402344625,0.4285213624202635,2,0.295096380892124,0.590192761784248,0.0,0.0,0.0,0.0,56.07162222311402,11.958582140202061,False,False,True,False,False,2.2596544230278113
2022-08-22 00:00:00+00:00,4.21,4.27,3.98,4.11,16777363,3.864933850647538,#000000,0.7898155332586012,3.864933850647538,0.4368946099715167,2,0.3002520522205838,0.6005041044411676,0.0,0.0,0.0,0.0,54.546159614843425,10.230888465880142,False,False,True,False,False,2.3469349394915433
2022-08-23 00:00:00+00:00,4.14,4.325,4.09,4.16,10386576,3.8672280235404655,#000000,0.7940224200887501,3.8672280235404655,0.343531831795185,2,0.3040894773985768,0.6081789547971536,0.0,0.0,0.0,0.0,52.92286735856606,8.444523189228114,False,False,False,False,False,1.6896545225060144
2022-08-24 00:00:00+00:00,4.19,4.3,4.15,4.15,5177247,3.8685594955353837,#000000,0.7996078318054899,3.8685594955353837,0.4019976939680717,2,0.30655289673614483,0.6131057934722897,0.0,0.0,0.0,0.0,52.29365479646955,7.601120525638862,False,False,False,False,False,2.140925210724273
2022-08-25 00:00:00+00:00,4.27,4.49,4.21,4.29,17487373,3.87540518019903,#000000,0.8071140446560653,3.87540518019903,0.48889598987106925,2,0.3081673133733805,0.616334626746761,0.0,0.0,0.0,0.0,52.61470448872505,7.601120525638862,False,False,False,False,False,2.8658726966803023
2022-08-26 00:00:00+00:00,3.89,4.37,3.755,4.25,14235223,3.875358416053801,#000000,0.8104859625530152,3.875358416053801,0.01806519128360764,2,0.3126987166978962,0.6253974333957923,0.0,0.0,0.0,0.0,49.42680665243392,4.4034699500338235,False,True,False,False,False,0.0
2022-08-29 00:00:00+00:00,4.06,4.18,3.77,3.81,13557208,3.8754062617909155,#000000,0.8157712981043171,3.8754062617909155,0.22628123671185973,2,0.31624425695763625,0.6324885139152725,0.0,0.0,0.0,0.0,48.937440393886234,3.774015897149816,False,True,False,True,False,0.8409429530462091
2022-08-30 00:00:00+00:00,4.0,4.2,3.93,4.08,6327204,3.8757593903747973,#000000,0.8165108584593188,3.8757593903747973,0.1521603887297143,2,0.31922729376464143,0.6384545875292829,0.0,0.0,0.0,0.0,48.0936602459927,2.7689182515343163,False,True,False,True,False,0.2832156962595249
2022-08-31 00:00:00+00:00,4.09,4.24,4.0,4.05,9893792,3.877098202808134,#000000,0.8197978217026807,3.877098202808134,0.25970036947607283,2,0.32189384029931534,0.6437876805986307,0.0,0.0,0.0,0.0,48.437023161106644,2.7689182515343163,False,True,False,True,False,1.114865325135458
