date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_86,aVWAP_BoS_CHoCH_bull_118,aVWAP_BoS_CHoCH_bull_146,aVWAP_BoS_CHoCH_bear_24,aVWAP_BoS_CHoCH_bear_44,aVWAP_BoS_CHoCH_bear_78,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-07-19 00:00:00+00:00,2.12,2.205,2.03,2.03,77118,2.9528612921306636,2.007926626764495,,3.0473928528269116,2.9665451853372122,2.8517268197243895,2.9248518895259257,"rgba(239, 83, 80, 1.0)",0.841943211868124,2.7514965980740325,-0.7500465461000064,2,0.32650454985704014,0.6530090997140803,0.0,0.0,0.0,0.0,37.152758261907856,-6.864436902561835,False,True,False,True,False,0.0
2024-07-26 00:00:00+00:00,2.24,2.2728,2.0201,2.14,68040,2.9413730290517295,2.035360131194123,,3.038307604339827,2.9580641185180734,2.843028106814985,2.9164995873844077,"rgba(239, 83, 80, 1.0)",0.8133867934719599,2.7360714071447476,-0.6098837737790841,1,0.27502592480470495,0.27502592480470495,0.0,0.0,0.0,0.0,38.199392309186905,-6.864436902561835,False,True,False,True,False,0.0
2024-08-02 00:00:00+00:00,2.25,2.379,2.15,2.23,79470,2.9297743521161626,2.0709848359124092,,3.028922324500029,2.9494035901637,2.8343661781442875,2.9088175854911573,"rgba(239, 83, 80, 1.0)",0.7806558361617078,2.7235254405255818,-0.6065738813326365,1,0.2789044322291823,0.2789044322291823,0.0,0.0,0.0,0.0,39.011670122426246,-6.864436902561835,False,True,False,True,False,0.0
2024-08-09 00:00:00+00:00,2.275,2.33,2.0446,2.15,92554,2.915915801077238,2.0937044888044114,,3.01767596873809,2.938970006435292,2.8238636507012362,2.8979981275664692,"rgba(239, 83, 80, 1.0)",0.7593469380798034,2.7048824425893434,-0.5661212563474709,1,0.284675337876856,0.284675337876856,0.0,0.0,0.0,0.0,39.762710929275045,-6.864436902561835,False,True,False,True,False,0.0
2024-08-16 00:00:00+00:00,2.57,2.69,2.21,2.3,60991,2.910531239616055,2.1306670124286735,,3.012905712200885,2.9347970974268476,2.8201651591059487,2.8962241152639034,"rgba(239, 83, 80, 0.5)",0.7250817045803312,2.7053122333211674,-0.1866165322699526,1,0.2908014931717341,0.2908014931717341,0.0,0.0,0.0,0.0,42.19420889480694,-6.864436902561835,False,False,False,True,True,0.0
2024-08-23 00:00:00+00:00,2.87,2.98,2.61,2.65,71544,2.9092083021269386,2.1986480221339413,,3.010881547577579,2.933559011877397,2.820163040460159,2.900780343288596,"rgba(239, 83, 80, 0.5)",0.704931077668636,2.7208389049805115,0.21159670745797948,1,0.2978416013612115,0.2978416013612115,0.0,0.0,0.0,0.0,45.559478629488574,-10.469396966529672,False,False,False,True,True,0.0
2024-08-30 00:00:00+00:00,3.0856,3.2,2.86,2.86,21739,2.9098242050196075,2.223374510428475,,3.0110012134144983,2.9339345604015254,2.821049731402212,2.9034246497585507,#000000,0.6876187376265547,2.7283044700306176,0.5196128470882788,1,0.30769296467052104,0.30769296467052104,0.0,0.0,0.0,0.0,48.991745070621235,-7.161986879908007,True,False,False,False,True,0.0
2024-09-06 00:00:00+00:00,2.89,3.14,2.84,3.13,45548,2.910254086324274,2.265506372004254,,3.0106417886592114,2.9340890760779073,2.822144084839845,2.9073337876967718,#000000,0.675176021928644,2.740022013410969,0.22213168376539533,2,0.24190874286043973,0.48381748572087946,0.0,0.0,0.0,0.0,50.281204213242795,-5.94248611884403,True,False,False,False,True,0.0
2024-09-13 00:00:00+00:00,3.1503,3.27,2.9501,2.96,60732,2.9128315227009804,2.326557109648604,,3.011628230070599,2.9357900253580844,2.825351652319024,2.914729513617918,#000000,0.6709084034097106,2.760106016624282,0.5815905440931471,2,0.24349633212149402,0.48699266424298804,0.0,0.0,0.0,0.0,52.41799599384686,-3.878866863182921,True,False,False,False,True,0.0
2024-09-20 00:00:00+00:00,3.9687,4.05,3.22,3.3,108852,2.930505696989937,2.4871403966194654,,3.022962311235036,2.948630128051648,2.842592507157045,2.9439108838340573,"rgba(38, 166, 154, 1.0)",0.6815939261825991,2.829486952022343,1.6713955395084639,3,0.2380868686309002,0.7142606058927006,0.0,0.0,0.0,0.0,56.78815638721137,0.29466615140111685,True,False,True,False,True,3.35242222537941
