date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_276,aVWAP_BoS_CHoCH_bull_611,aVWAP_BoS_CHoCH_bear_149,aVWAP_BoS_CHoCH_bear_578,aVWAP_BoS_CHoCH_bear_615,aVWAP_BoS_CHoCH_bear_828,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-08-13 16:00:00+00:00,3.055,3.095,3.05,3.09,31201.0,3.1694395337619206,3.1465341913399385,3.0979447086734306,3.138104420153099,3.155541954336562,,3.115235182787244,"rgba(38, 166, 154, 1.0)",0.10730536538980784,3.115235182787244,-0.23517167753515944,1,0.26767792398936696,0.26767792398936696,0.0,0.0,0.0,0.0,61.18116719516697,16.373323611956764,True,False,True,False,False,4.590342080711302
2025-08-13 17:00:00+00:00,3.095,3.095,3.07,3.075,18576.0,3.1693582084068006,3.146420852515607,3.0979314495612638,3.1380086930737443,3.1553140929733248,,3.115317666897682,"rgba(38, 166, 154, 1.0)",0.10508096406584652,3.115317666897682,-0.38368192808373724,1,0.2715743129810969,0.2715743129810969,0.0,0.0,0.0,0.0,60.72775202204351,16.216729449808398,True,False,True,False,False,3.63700209666408
2025-08-13 18:00:00+00:00,3.075,3.075,3.065,3.065,11658.0,3.169300591643995,3.146337460734045,3.0979177308722665,3.137936726984875,3.155149748096353,,3.115331938447628,"rgba(38, 166, 154, 1.0)",0.10306234446608303,3.115331938447628,-0.4883639966505107,1,0.2760780217500075,0.2760780217500075,0.0,0.0,0.0,0.0,59.63403928962462,14.746666905991333,True,False,True,False,False,3.0014186125401423
2025-08-13 19:00:00+00:00,3.065,3.095,3.055,3.075,70811.0,3.168975047593568,3.145877704163402,3.097853391639415,3.137544341097298,3.1542403458691965,,3.115513476123912,"rgba(38, 166, 154, 1.0)",0.10116871111221497,3.115513476123912,-0.4004546037853013,1,0.28028451739852656,0.28028451739852656,0.0,0.0,0.0,0.0,59.511183931286595,14.190728099537623,True,False,True,False,False,3.5903658477999443
2025-08-14 14:00:00+00:00,3.005,3.035,2.99,3.025,61624.0,3.168518836853235,3.1451570447522297,3.09765552221863,3.1368920304270604,3.152895194762603,,3.1147715780623355,"rgba(38, 166, 154, 1.0)",0.0992801568771335,3.1147715780623355,-0.9042247805211925,1,0.28598031108265315,0.28598031108265315,0.0,0.0,0.0,0.0,55.600186713505536,10.206475430010578,False,False,True,False,False,0.4418303563399384
2025-08-14 15:00:00+00:00,3.02,3.06,3.015,3.025,40580.0,3.1682527164281256,3.144747845933404,3.097552455089377,3.1365253256716255,3.15213029729895,,3.1144564899010914,"rgba(38, 166, 154, 1.0)",0.09706239286204922,3.1144564899010914,-0.9216390330313851,1,0.2921734137095147,0.2921734137095147,0.0,0.0,0.0,0.0,52.99285523498483,7.62874206156431,False,False,False,False,False,0.4418303563399384
2025-08-14 16:00:00+00:00,3.025,3.025,2.99,3.015,69046.0,3.1677244250538674,3.143914062740849,3.0973144031436437,3.135767577076861,3.1505998377558013,,3.1075049597684097,"rgba(38, 166, 154, 1.0)",0.09532296925960256,3.1075049597684097,-0.970437245995575,1,0.3002960382777902,0.3002960382777902,0.0,0.0,0.0,0.0,50.50980352514923,5.227502840096733,False,False,False,False,False,0.0
2025-08-14 17:00:00+00:00,3.015,3.025,3.01,3.015,25705.0,3.1675369234184854,3.1436216071047367,3.0972328510177265,3.13550262055342,3.150065070378052,,3.1073213184652,"rgba(38, 166, 154, 1.0)",0.09512912040772906,3.1073213184652,-0.9704843066928973,1,0.30913730646031967,0.30913730646031967,0.0,0.0,0.0,0.0,48.854435718592164,3.601323834153014,False,False,False,True,False,0.0
2025-08-14 18:00:00+00:00,3.015,3.04,3.005,3.035,83490.0,3.166971269505379,3.1427550113387235,3.097001840092432,3.134721852557512,3.148485252008535,,3.1069774728076704,"rgba(38, 166, 154, 1.0)",0.0952690831182754,3.1069774728076704,-0.7555176396345828,1,0.3179570009784265,0.3179570009784265,0.0,0.0,0.0,0.0,49.67227153115181,3.601323834153014,False,False,False,False,False,1.0910889723842025
2025-08-14 19:00:00+00:00,3.035,3.075,3.015,3.045,114370.0,3.16630402598543,3.1417727462325877,3.096769679224461,3.133848723448019,3.1467016285119964,,3.1069930562094914,"rgba(38, 166, 154, 1.0)",0.09556196989435053,3.1069930562094914,-0.6487209951618672,1,0.32643993711112385,0.32643993711112385,0.0,0.0,0.0,0.0,51.129581322195165,3.601323834153014,False,False,False,False,True,1.7243332139763652
