date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_33,aVWAP_BoS_CHoCH_bull_111,aVWAP_BoS_CHoCH_bear_43,aVWAP_BoS_CHoCH_bear_74,aVWAP_BoS_CHoCH_bear_115,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-07-05 00:00:00+00:00,3.07,3.27,3.05,3.19,489191,3.2066236949931746,2.5864710500039743,2.8578469529187256,2.469316728666492,3.1371092851911686,2.8638344980088855,"rgba(38, 166, 154, 1.0)",0.6629144496596628,2.736613554176767,0.5029102111055084,8,0.2600896333769663,2.0807170670157302,0.0,0.0,0.0,0.0,62.38178600480785,8.515132533549966,True,False,True,False,True,0.0
2024-07-12 00:00:00+00:00,2.75,3.09,2.66,3.06,922579,3.20442922206252,2.594700105265684,2.857674494941058,2.4738047185530077,3.079481601535547,2.8596698893304695,"rgba(38, 166, 154, 0.75)",0.5827464641174991,2.7277997693154177,0.03809586510010311,8,0.26050603535291406,2.0840482828233124,0.0,0.0,0.0,0.0,59.549966878978395,8.515132533549966,True,False,True,False,False,0.0
2024-07-19 00:00:00+00:00,2.89,3.05,2.8,2.81,1689611,3.2013285778776064,2.6130331261204165,2.8583824950625,2.4835099058585173,3.036641332659429,2.860454245007177,"rgba(38, 166, 154, 0.75)",0.5216478395128984,2.729920720339877,0.30687231410677585,9,0.24518661779173914,2.2066795601256524,0.0,0.0,0.0,0.0,58.38393227468154,12.870114951352207,True,False,True,False,False,0.0
2024-07-26 00:00:00+00:00,2.28,2.85,2.275,2.85,1259539,3.1955541751747236,2.6070820325287642,2.8547185864919618,2.4832641381187113,2.9450168749021057,2.846842156695653,#000000,0.4617728469303585,2.7017723638958477,-0.9133762773181352,9,0.24652835546725005,2.2187551992052503,0.0,0.0,0.0,0.0,53.94550129564641,8.656550495462469,True,False,False,False,False,0.0
2024-08-02 00:00:00+00:00,2.3,2.37,2.01,2.22,1161299,3.1885675304717203,2.5931839229770066,2.8493258634242085,2.479489289508143,2.852054071587794,2.8299233842236333,#000000,0.4145055450133967,2.585898252159265,-0.6897332390330867,9,0.2947358209267281,2.652622388340553,0.0,0.0,0.0,0.0,50.90465751073625,5.880556143075658,True,False,False,False,False,0.0
2024-08-09 00:00:00+00:00,2.19,2.75,2.1482,2.23,2441209,3.1762360500005085,2.5767477177787432,2.840698663213774,2.4759869350319543,2.7474071369006423,2.8092315126594336,#000000,0.3248462976811085,2.572169750656857,-1.1764633101406654,8,0.30062625702237256,2.4050100561789804,0.0,0.0,0.0,0.0,48.18037517023106,3.430284923712229,True,False,False,False,False,0.0
2024-08-16 00:00:00+00:00,2.26,2.48,2.15,2.2,1023385,3.1707644234630585,2.568616663254032,2.8366849440406074,2.473759950349506,2.7103215520940567,2.8007017181491825,#000000,0.30822654591000087,2.556660565447711,-0.9624757159441192,8,0.3021915020609023,2.4175320164872183,0.0,0.0,0.0,0.0,46.72921835896227,2.1862481752857192,True,False,False,False,False,0.0
2024-08-23 00:00:00+00:00,2.2,2.335,2.15,2.26,498145,3.167919309951023,2.5638750471141694,2.834508051017687,2.4722852330238654,2.691761559901887,2.796144341892283,"rgba(239, 83, 80, 0.5)",0.29788340424154014,2.5470982360184093,-1.1652150844125675,7,0.3248462171449287,2.2739235200145007,0.0,0.0,0.0,0.0,45.36747397316847,0.9722843928235818,False,False,False,True,False,0.0
2024-08-30 00:00:00+00:00,2.14,2.25,2.13,2.17,402027,3.165501985525604,2.5595319862203727,2.832604144070806,2.470842496873397,2.6761359024312865,2.7921659355937605,"rgba(239, 83, 80, 0.5)",0.2835001946390278,2.5382234387821367,-1.4046672500143516,6,0.36088148211205134,2.165288892672308,0.0,0.0,0.0,0.0,44.06490226975971,-0.23348355893631378,False,False,False,True,False,0.0
2024-09-06 00:00:00+00:00,2.05,2.19,2.01,2.18,449371,3.1625700181817336,2.5536854131685174,2.830200210291608,2.468763370086721,2.6568153609653895,2.7870815969820395,"rgba(239, 83, 80, 0.5)",0.27463830431715913,2.526005203341773,-1.7332076256634266,6,0.3625096062177389,2.1750576373064336,0.0,0.0,0.0,0.0,42.64072578100631,-1.5947477450314835,False,False,False,True,False,0.0
