date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_35,aVWAP_BoS_CHoCH_bull_68,aVWAP_BoS_CHoCH_bull_90,aVWAP_BoS_CHoCH_bull_158,aVWAP_BoS_CHoCH_bear_27,aVWAP_BoS_CHoCH_bear_110,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-03-03 00:00:00+00:00,6.5196731226,6.5909263808,6.0787935877,6.2079401181,28094452,6.429480774861743,,,,6.368055576632259,,6.408190028186189,#000000,,6.38296766839702,,0,,,0.0,0.0,0.0,0.0,49.79077571127553,2.7162881518905806,False,True,False,False,False,3.3385106684531856
2023-03-10 00:00:00+00:00,6.032033637,6.5285797799,5.996377616,6.4306065499,30884772,6.421732563658274,,,,6.363397159905525,,6.399071865931441,#000000,,6.366843071936029,,0,,,0.0,0.0,0.0,0.0,48.956093892411204,2.2749196557527327,False,True,False,False,False,0.7542362901794384
2023-03-17 00:00:00+00:00,5.2517048565,6.0767153677,5.0528451202,5.8443703683,47677245,6.37677853370202,,,,6.329145530364978,,6.192337620665932,#000000,,6.0334991054753315,,0,,,0.0,0.0,0.0,0.0,46.62975649042022,-0.05051354312181644,False,True,False,False,False,0.0
2023-03-24 00:00:00+00:00,5.8211668289,6.2074970623,5.197470383,5.2697830144,39394271,6.3531653968389366,,,,6.311303791573228,,6.190677409895879,#000000,,6.029121824511761,,0,,,0.0,0.0,0.0,0.0,46.519636070008275,-0.2057902532573621,False,True,False,False,False,0.0
2023-03-31 00:00:00+00:00,6.3815897224,6.4176556473,5.7398151186,5.9205966971,28493756,6.348619777444876,,,,6.308472984095606,,6.213036519366135,#000000,,6.06663309565776,,0,,,0.0,0.0,0.0,0.0,47.795790105837,-0.2057902532573621,False,True,False,False,False,2.4190062942427417
2023-04-07 00:00:00+00:00,6.6979574849,6.9148953791,6.6482425508,6.7160356427,25028951,6.357733523679651,,,,6.316728477493635,,6.255736103246292,#000000,,6.137358596584701,,0,,,0.0,0.0,0.0,0.0,49.416642965113724,-0.2057902532573621,False,True,False,False,True,3.8740235801760328
2023-04-14 00:00:00+00:00,7.0324034052,7.0956769576,6.7069965638,6.7160356427,18750444,6.367468202362215,,,,6.325336547255042,,6.287968815164374,#000000,,6.190562795495386,,0,,,0.0,0.0,0.0,0.0,51.29572583220016,-2.059395227843126,False,True,False,False,True,5.3795543837248765
2023-04-21 00:00:00+00:00,6.6618011691,7.1205344247,6.6075666956,7.0052861684,22124652,6.375700962337185,,,,6.332834385111525,,6.382665716148511,#000000,,6.351468205292067,,0,,,1.0,0.0,7.1205344,82.0,51.669738132789796,-1.707758378782593,False,True,False,False,True,3.5007090064664155
2023-04-28 00:00:00+00:00,6.6889184059,6.8425827477,6.3997582711,6.6618011691,19311451,6.380115309075224,,,,6.337092693277441,,6.38447435066291,#000000,,6.354889164476103,,0,,,0.0,0.0,0.0,0.0,52.00083424811459,-1.3591269043482654,False,True,False,False,True,3.6252754926443416
2023-05-05 00:00:00+00:00,6.3544724856,6.6889184059,5.9954402707,6.553332222,19930379,6.379549804075808,,,,6.337220703322429,,6.369394679822016,#000000,,6.329804179647694,,0,,,0.0,0.0,0.0,0.0,51.3508020641091,-1.3591269043482654,False,True,False,False,True,1.93834681104088
2023-05-12 00:00:00+00:00,6.0923391968,6.5442931431,6.0324101035,6.5081368274,15274345,6.377570275586195,,,,6.336013671374609,,6.357730135228353,#000000,,6.310756633514073,,0,,,0.0,0.0,0.0,0.0,50.21867932144401,-1.3591269043482654,False,True,False,False,True,0.6403951190938848
2023-05-19 00:00:00+00:00,6.1013782757,6.1940288347,5.9025185393,6.1736909071,14630110,6.3738412509590425,,,,6.33330744546981,,6.343394122610499,#000000,,6.2874950493110715,,0,,,0.0,0.0,0.0,0.0,49.43607982623257,-1.3591269043482654,False,True,False,False,False,0.68450856236365
2023-05-26 00:00:00+00:00,5.9025185393,6.2776403148,5.81212775,6.1194564335,13780532,6.369645412546679,,,,6.330166511821961,,6.3303109655742285,#000000,,6.266555239349953,,0,,,0.0,0.0,0.0,0.0,48.34450007120394,1.6349037667893498,False,True,False,False,False,0.0
2023-06-02 00:00:00+00:00,6.0742610389,6.1013782757,5.6494243293,5.8482840657,16450505,6.364025521549461,5.941687881300001,,,6.325877713987799,,6.315362789720917,#000000,0.6592740833685656,6.169521740697407,-0.14449332106408944,0,,,0.0,0.0,0.0,148.0,48.10949069349799,1.356311612261429,False,True,False,False,False,0.5520772081717311
