date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_122,aVWAP_BoS_CHoCH_bull_277,aVWAP_BoS_CHoCH_bull_383,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2024-11-28 17:00:00+00:00,9.765,9.765,9.765,9.765,0.0,9.002603594962647,,,9.133318190133066,"rgba(38, 166, 154, 1.0)",0.6303766784683655,9.395354975480053,0.5863875316867345,3,0.18477435954433738,0.5543230786330121,0.0,0.0,0.0,0.0,50.28434756901372,-4.299370312108145,False,True,False,False,False,6.06148477941305
2024-11-29 17:00:00+00:00,9.605,9.625,9.515,9.54,5458.0,9.007416878541017,,,9.13550129203848,"rgba(38, 166, 154, 1.0)",0.6201067766235642,9.39536638089438,0.23323986216234957,3,0.18814620462955192,0.5644386138886558,0.0,0.0,0.0,0.0,49.43656005987316,-4.299370312108145,False,True,False,False,False,4.764814488930789
2024-12-02 17:00:00+00:00,9.01,9.14,8.82,9.03,6712.0,9.007303918422258,,,9.161457224905734,"rgba(38, 166, 154, 1.0)",0.6201067766235642,9.389531539839918,-0.5797897287908089,3,0.19038793767445802,0.571163813023374,0.0,0.0,0.0,0.0,46.134986964169215,-4.299370312108145,False,True,False,True,False,1.9189770519630365
2024-12-03 17:00:00+00:00,9.75,10.84,9.69,10.57,30729.0,9.069696723017344,,,9.284867438796939,"rgba(38, 166, 154, 1.0)",0.6364758121558998,9.524598489100356,1.6424842718824033,3,0.1900599333963362,0.5701798001890086,0.0,0.0,0.0,0.0,51.36625531020183,-3.238256520530115,False,False,True,False,True,9.157192988825997
2024-12-04 17:00:00+00:00,11.26,11.27,10.645,10.79,5657.0,9.0850464634047,,,9.30776090603016,"rgba(38, 166, 154, 1.0)",0.6550846723347915,9.54909174879823,1.8942715401644807,4,0.37938963782520463,1.5175585513008185,0.0,0.0,0.0,0.0,55.56561124421583,0.5105921082394431,False,False,True,False,True,10.094292454732756
2024-12-05 17:00:00+00:00,10.92,11.58,10.7,11.48,13606.0,9.127879479722768,,,9.370651624046095,"rgba(38, 166, 154, 1.0)",0.6943660015756804,9.616829955269518,2.6832679602724068,4,0.375765265475249,1.503061061900996,0.0,0.0,0.0,0.0,60.34543547148297,4.726310002862476,True,False,True,False,True,12.921881140668447
2024-12-06 17:00:00+00:00,12.39,12.45,12.1,12.235,29701.0,9.257429286447996,,,9.557583998745844,"rgba(38, 166, 154, 1.0)",0.7646403028828962,9.820662373606773,3.1574815207758933,4,0.36950593456617536,1.4780237382647015,0.0,0.0,0.0,0.0,65.22433038629484,8.981052392045747,True,False,True,False,True,15.801378760028044
2024-12-09 17:00:00+00:00,12.37,12.58,11.985,12.165,14288.0,9.315651868531788,,,9.632608694613845,"rgba(38, 166, 154, 1.0)",0.8249140386556809,9.900679858502592,2.744916482676729,4,0.3640503649162867,1.4562014596651467,0.0,0.0,0.0,0.0,68.0447300487158,11.369685591592287,True,False,True,False,True,15.40464975201047
2024-12-10 17:00:00+00:00,12.09,12.205,11.92,12.145,7537.0,9.343898024234745,,,9.666962127422137,"rgba(38, 166, 154, 1.0)",0.876042364971741,9.936764511435218,2.5206948623266796,4,0.3587358087300494,1.4349432349201976,0.0,0.0,0.0,0.0,69.78923284907096,12.930409353957224,True,False,True,False,True,15.28963718383487
2024-12-11 17:00:00+00:00,12.76,12.95,12.7,12.79,12976.0,9.40366385976744,,,9.945899626850014,"rgba(38, 166, 154, 1.0)",0.9439747381717178,10.231569730355698,2.71027408487588,4,0.35076843667964797,1.4030737467185919,0.0,0.0,0.0,0.0,72.44012645799367,15.472947957478482,True,False,True,False,True,17.68900126570182
2024-12-12 17:00:00+00:00,12.14,12.205,11.79,11.85,8216.0,9.431119645671998,,,9.958259863617645,"rgba(38, 166, 154, 1.0)",0.9748322008529864,10.240176110240013,1.6513856316516602,4,0.34980299653064506,1.3992119861225802,0.0,0.0,0.0,0.0,68.63609288516582,15.472947957478482,True,False,True,False,False,12.46250756927315
2024-12-13 17:00:00+00:00,11.5,11.965,11.455,11.905,32623.0,9.527410057733979,,,10.032157914799754,"rgba(38, 166, 154, 1.0)",1.0059142988230334,10.307733065443962,1.58787576280098,4,0.3478058923197871,1.3912235692791484,0.0,0.0,0.0,0.0,66.28134546944008,15.472947957478482,True,False,True,False,False,12.672339614384146
2024-12-16 17:00:00+00:00,12.325,12.48,12.23,12.39,26202.0,9.618101071879044,,,10.132608747298837,"rgba(38, 166, 154, 1.0)",1.0498397861467412,10.410859107642015,1.885183738008336,4,0.3450555118128289,1.3802220472513156,0.0,0.0,0.0,0.0,66.2691254081655,15.472947957478482,True,False,True,False,False,14.49895536007757
2024-12-17 17:00:00+00:00,12.305,12.62,12.28,12.49,20301.0,9.68681474850455,,,10.20643532538491,"rgba(38, 166, 154, 1.0)",1.0752347198183114,10.486031653570269,1.8637496627418741,4,0.3420626401930018,1.3682505607720072,0.0,0.0,0.0,0.0,66.5696402230549,15.472947957478482,True,False,True,False,False,14.869714464061492
2024-12-18 17:00:00+00:00,12.49,12.77,11.58,11.665,12070.0,9.719629708466494,,,10.235964272631987,"rgba(38, 166, 154, 1.0)",1.0784152411907455,10.514312444021007,1.0670171488938216,4,0.34208176778773625,1.368327071150945,0.0,0.0,0.0,0.0,62.226183095918984,18.68030895201281,True,False,True,False,False,10.460876226552621
2024-12-19 17:00:00+00:00,11.67,11.94,11.535,11.785,10788.0,9.745038550194586,,,10.256154965583915,"rgba(38, 166, 154, 1.0)",1.0979348960826856,10.532605461998562,1.1406819680017894,4,0.34419362526636166,1.3767745010654466,0.0,0.0,0.0,0.0,59.82830241313308,16.207831877806925,True,False,True,False,False,10.927411296396098
2024-12-20 17:00:00+00:00,12.55,12.66,12.28,12.325,27003.0,9.826206151236171,,,10.337969279115502,"rgba(38, 166, 154, 1.0)",1.1234351559167144,10.614117962577257,1.522902348579857,3,0.41384201696964334,1.24152605090893,0.0,0.0,0.0,0.0,60.327317540311505,16.207831877806925,True,False,True,False,False,12.985852409270368
2024-12-23 17:00:00+00:00,11.32,11.32,11.32,11.32,0.0,9.826206151236171,,,10.337969279115502,"rgba(38, 166, 154, 1.0)",1.1250949389370148,10.614117962577257,0.627397753730594,3,0.4248787669000272,1.2746363007000816,0.0,0.0,0.0,0.0,56.02776151086362,12.177231229690648,False,False,True,False,False,7.926381337866253
2024-12-24 17:00:00+00:00,11.4,11.535,11.385,11.465,5492.0,9.836231117976514,,,10.344182171168706,"rgba(38, 166, 154, 1.0)",1.1220420091379533,10.618935793649554,0.754039687872706,3,0.43564513002733274,1.3069353900819982,0.0,0.0,0.0,0.0,53.78307073426576,9.925726172739388,False,False,True,False,False,8.489446552040608
2024-12-25 17:00:00+00:00,11.465,11.465,11.465,11.465,0.0,9.836231117976514,,,10.344182171168706,"rgba(38, 166, 154, 1.0)",1.1220138265757211,10.618935793649554,0.7540586277199036,3,0.4493454657711023,1.348036397313307,0.0,0.0,0.0,0.0,52.28661021653386,8.328844349815554,False,False,False,False,False,8.489446552040608
2024-12-26 17:00:00+00:00,11.08,11.215,10.91,11.215,12489.0,9.853788256221883,,,10.350681349019627,"rgba(38, 166, 154, 1.0)",1.1196069210476167,10.621408387826289,0.5301785841215476,3,0.46404806702278023,1.3921442010683407,0.0,0.0,0.0,0.0,50.10836734115985,6.062466761324842,False,True,False,False,False,7.249901821159543
