date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_39,aVWAP_BoS_CHoCH_bull_74,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-04-07 00:00:00+00:00,9.77,9.77,9.77,9.77,0,9.752391745875151,,9.73881920770463,#000000,,9.73881920770463,,0,,,0.0,0.0,0.0,0.0,60.56598532328286,16.707788140885825,True,False,True,False,False,11.516502399740226
2022-04-08 00:00:00+00:00,9.81,9.81,9.8,9.8,17462,9.754410212215246,,9.740116677663984,#000000,,9.740116677663984,,0,,,0.0,0.0,0.0,0.0,63.58071717785232,16.707788140885825,True,False,True,False,False,20.0
2022-04-11 00:00:00+00:00,9.78,9.8,9.78,9.79,61320,9.758136184247295,,9.74292154357725,#000000,,9.74292154357725,,0,,,0.0,0.0,0.0,0.0,60.616645931160676,16.707788140885825,True,False,True,False,False,11.166929035744019
2022-04-12 00:00:00+00:00,9.8,9.8,9.79,9.79,24833,9.759858050802725,,9.744210068246339,#000000,,9.744210068246339,,0,,,0.0,0.0,0.0,0.0,60.69235524904893,16.707788140885825,True,False,True,False,False,15.158954150490448
2022-04-13 00:00:00+00:00,9.795,9.81,9.78,9.78,842,9.759911218302328,,9.744251042878277,#000000,,9.744251042878277,,0,,,0.0,0.0,0.0,0.0,60.01246625353582,16.513512921056304,True,False,True,False,False,13.743172081598846
2022-04-14 00:00:00+00:00,9.8,9.8,9.8,9.8,5095,9.760274896714144,,9.744523921150515,#000000,,9.744523921150515,,0,,,0.0,0.0,0.0,0.0,60.08436528262438,16.31855464034018,False,False,True,False,False,14.709249994587523
2022-04-18 00:00:00+00:00,9.8,9.8,9.8,9.8,3,9.760275108908802,,9.744524080921924,#000000,,9.744524080921924,,0,,,0.0,0.0,0.0,0.0,60.132297968683424,16.011992214047666,False,False,True,False,False,14.709249994587523
2022-04-19 00:00:00+00:00,9.8,9.8,9.8,9.8,0,9.760275108908802,,9.744524080921924,#000000,,9.744524080921924,,0,,,0.0,0.0,0.0,0.0,60.16425309272279,15.637108263586057,False,False,True,False,False,14.709249994587523
2022-04-20 00:00:00+00:00,9.8001,9.83,9.8,9.82,49258,9.764287272504054,,9.751966781571928,"rgba(38, 166, 154, 1.0)",0.03481252943130566,9.751966781571928,1.382640653074395,0,,,1.0,0.0,9.83,77.0,60.1989899232382,15.240188940161431,False,False,True,False,False,14.729448283728932
2022-04-21 00:00:00+00:00,9.81,9.825,9.81,9.82,51505,9.768230477132228,,9.75497216664645,"rgba(0, 255, 255, 0.75)",0.03579545177208537,9.75497216664645,1.537285622316501,0,,,0.0,0.0,0.0,0.0,61.53832798909866,15.240188940161431,False,False,True,False,False,16.702431798535383
2022-04-22 00:00:00+00:00,9.81,9.81,9.7901,9.7901,2551,9.768365273671348,9.803366666666667,9.755062789166587,"rgba(38, 166, 154, 1.0)",0.03671236318750045,9.755062789166587,1.4964226234316138,0,,,0.0,0.0,0.0,0.0,62.43122003300564,15.240188940161431,False,False,True,False,False,16.702431798535383
